environment,avg_building_height_m,street_width_m,building_separation_m,street_orientation_deg,tx_antenna_height_m,rx_antenna_height_m,building_path_length_m,link_distance_m,path_loss_dB,delay_spread_ns
urban,4.34,4.55,68.96,30.54,29.67,8.85,49.15,275.96,101.32029099897304,157.3015151701063
urban,8.8,14.14,79.89,19.99,38.05,5.24,67.79,163.56,119.19124051774159,64.41504501509952
urban,8.18,17.53,37.56,76.75,13.71,1.98,274.24,356.2,132.63470468254988,195.9756567433319
urban,11.01,11.51,37.43,58.02,16.24,5.89,282.68,45.95,102.29853883955815,156.0250468819378
urban,8.72,11.63,42.55,32.25,28.29,6.13,81.8,364.11,118.67533038635659,68.0024047044802
urban,53.07,26.73,24.15,14.61,47.79,1.56,175.89,246.37,141.0619250655662,105.34923519050803
urban,55.12,18.44,19.48,88.07,39.55,8.43,233.08,55.53,86.97703914113369,249.7095059624429
urban,10.15,14.1,45.18,13.95,13.64,7.43,83.35,135.05,137.57372921623002,255.22179255711956
urban,51.86,31.07,5.81,38.72,42.76,1.74,168.19,109.65,83.95824809873504,250.18305536599374
urban,80.92,14.09,9.0,17.76,33.42,2.07,245.85,187.49,134.54423759502035,92.73983576189327
urban,10.87,14.94,25.61,57.5,48.02,4.45,275.95,249.67,91.12911647851118,243.61999619575334
urban,58.86,24.04,16.16,65.78,31.31,4.51,129.34,79.11,143.25222391538205,206.51118532765923
urban,18.44,9.54,27.58,77.13,49.99,7.27,238.63,248.8,127.72070884752429,76.91540283579153
urban,14.79,16.26,37.49,86.76,23.2,6.78,223.57,97.7,124.79873126811538,155.35703679391378
urban,4.59,7.4,62.43,9.58,22.95,7.73,105.76,164.67,100.01169307339563,294.1415025714125
urban,66.56,31.58,9.73,24.13,22.37,9.18,226.42,50.17,113.05883646399519,165.65617467580674
urban,117.45,15.47,8.41,16.18,49.71,3.33,50.62,233.59,101.57023447945782,206.17887301899717
urban,10.57,11.6,39.68,38.41,18.97,6.08,77.35,336.73,130.38701176336303,168.21153226218422
urban,10.29,15.77,45.53,43.89,13.02,8.46,108.35,427.48,124.80191288647379,137.1629770529899
urban,88.24,27.21,5.89,70.54,49.93,3.6,194.99,470.64,92.63233904374222,193.2341509152255
urban,11.64,18.5,43.73,23.49,26.93,1.57,227.38,137.87,86.3987878282914,182.34479975684027
urban,107.8,29.32,8.93,5.59,24.11,5.95,273.54,478.92,93.92674077840601,189.43110043195412
urban,4.2,4.56,73.9,43.49,12.84,1.68,58.78,374.73,125.11987095767483,139.87724111691645
urban,39.03,15.31,23.08,81.47,48.69,2.57,79.04,203.29,87.37106496804526,270.15503751392464
urban,59.15,14.7,18.74,25.44,41.26,2.56,208.04,340.39,99.25633107305569,64.155146161455
urban,27.99,15.01,24.9,38.14,37.47,5.0,175.41,244.79,123.90723498080028,166.43007287383855
urban,57.28,18.77,22.08,67.84,34.73,8.61,126.21,362.1,134.65689210492118,93.53380495683876
urban,11.33,11.05,49.16,41.88,14.7,4.34,158.81,29.45,113.4090331763695,204.82618072342436
urban,28.3,12.17,24.8,33.03,26.26,7.16,131.22,394.11,126.20119064978653,57.168906532306785
urban,6.18,15.04,42.87,55.98,18.97,1.64,265.46,81.28,91.3734737944809,148.3999373825177
urban,117.97,19.59,19.45,78.44,46.4,9.42,37.22,350.27,139.5502179356957,244.1762304858427
urban,5.31,4.33,30.14,3.82,30.94,4.86,180.13,213.77,96.84526505214394,243.82847639567768
urban,6.99,5.85,52.66,83.1,24.12,6.45,214.12,22.89,114.58872945636143,163.05173009699342
urban,16.22,18.14,31.65,22.14,49.39,9.13,147.38,141.06,137.3695483381325,289.41952594413925
urban,10.02,17.79,28.78,61.78,10.49,2.48,141.39,81.72,89.79853317551196,131.09684368868008
urban,9.43,19.71,42.81,34.02,24.55,5.3,221.55,487.73,95.84591427009408,211.03098089442437
urban,11.05,9.02,24.44,3.57,32.67,5.33,219.14,226.03,120.01210868234956,261.94356245505196
urban,7.66,5.23,64.59,39.94,28.68,4.36,194.95,338.63,127.85418454386303,147.53266602832952
urban,47.78,20.02,12.33,46.77,38.46,7.64,175.18,59.1,136.54635876200615,116.1214353976394
urban,4.71,14.08,35.08,28.77,46.07,9.8,195.56,296.33,107.78222841085332,245.97789322049707
urban,7.37,7.22,70.89,89.49,43.38,7.94,192.13,315.76,93.6582976574184,217.84292682953452
urban,43.43,10.63,20.7,79.73,33.12,2.87,122.83,170.62,106.57873696659752,239.90833149007514
urban,13.89,17.39,32.91,61.76,48.88,6.59,130.41,418.14,128.50808366562006,138.0981232848323
urban,4.13,12.48,79.58,50.17,47.47,8.74,192.85,343.99,108.29890432307913,246.30441293282706
