environment,avg_building_height_m,street_width_m,building_separation_m,street_orientation_deg,tx_antenna_height_m,rx_antenna_height_m,building_path_length_m,link_distance_m,path_loss_dB,delay_spread_ns
mountain,4.34,4.55,68.96,30.54,29.67,8.85,49.15,275.96,94.11394552142447,170.30260732144703
mountain,8.8,14.14,79.89,19.99,38.05,5.24,67.79,163.56,139.08081600379683,169.31952532685767
mountain,8.18,17.53,37.56,76.75,13.71,1.98,274.24,356.2,79.80450179105638,199.4447101179266
mountain,11.01,11.51,37.43,58.02,16.24,5.89,282.68,45.95,118.92155197460495,73.49059776506729
mountain,8.72,11.63,42.55,32.25,28.29,6.13,81.8,364.11,121.89809235915617,137.82111877313795
mountain,53.07,26.73,24.15,14.61,47.79,1.56,175.89,246.37,100.7785623241618,149.8118974024309
mountain,55.12,18.44,19.48,88.07,39.55,8.43,233.08,55.53,108.78602080134236,46.66577700228328
mountain,10.15,14.1,45.18,13.95,13.64,7.43,83.35,135.05,120.62399441397937,68.5432913015661
mountain,51.86,31.07,5.81,38.72,42.76,1.74,168.19,109.65,98.03789168352847,127.1014647073967
mountain,80.92,14.09,9.0,17.76,33.42,2.07,245.85,187.49,99.75324536756109,48.277584220129725
mountain,10.87,14.94,25.61,57.5,48.02,4.45,275.95,249.67,121.63698358284381,23.31048088511541
mountain,58.86,24.04,16.16,65.78,31.31,4.51,129.34,79.11,124.0512699736366,81.85430447440565
mountain,18.44,9.54,27.58,77.13,49.99,7.27,238.63,248.8,117.18997439816198,151.44074157634327
mountain,14.79,16.26,37.49,86.76,23.2,6.78,223.57,97.7,107.80371278023644,21.478744432784445
mountain,4.59,7.4,62.43,9.58,22.95,7.73,105.76,164.67,103.03021790788371,196.47994486082135
mountain,66.56,31.58,9.73,24.13,22.37,9.18,226.42,50.17,89.31203432664829,136.71781040980693
mountain,117.45,15.47,8.41,16.18,49.71,3.33,50.62,233.59,119.07339960530119,151.42976715269498
mountain,10.57,11.6,39.68,38.41,18.97,6.08,77.35,336.73,116.43821901501308,110.08567019951202
mountain,10.29,15.77,45.53,43.89,13.02,8.46,108.35,427.48,101.78920544005166,73.75347942068154
mountain,88.24,27.21,5.89,70.54,49.93,3.6,194.99,470.64,112.98485595099964,30.30499957390071
mountain,11.64,18.5,43.73,23.49,26.93,1.57,227.38,137.87,81.21371830021059,191.44273727432306
mountain,107.8,29.32,8.93,5.59,24.11,5.95,273.54,478.92,99.36682615938308,168.72844628001783
mountain,4.2,4.56,73.9,43.49,12.84,1.68,58.78,374.73,115.6357892592177,127.85851733682988
mountain,39.03,15.31,23.08,81.47,48.69,2.57,79.04,203.29,106.02125598139857,147.41474443405704
mountain,59.15,14.7,18.74,25.44,41.26,2.56,208.04,340.39,111.74578282637444,92.88226317335584
mountain,27.99,15.01,24.9,38.14,37.47,5.0,175.41,244.79,93.64561528180775,99.08492718780242
mountain,57.28,18.77,22.08,67.84,34.73,8.61,126.21,362.1,126.46661260426492,112.23625686840526
mountain,11.33,11.05,49.16,41.88,14.7,4.34,158.81,29.45,84.91315593755459,141.85577770844912
mountain,28.3,12.17,24.8,33.03,26.26,7.16,131.22,394.11,104.52167463593076,56.59581081900007
mountain,6.18,15.04,42.87,55.98,18.97,1.64,265.46,81.28,87.91886630451673,84.79123440130952
mountain,117.97,19.59,19.45,78.44,46.4,9.42,37.22,350.27,108.55770004968304,49.87086990567735
mountain,5.31,4.33,30.14,3.82,30.94,4.86,180.13,213.77,76.03966448376596,155.77797872774303
mountain,6.99,5.85,52.66,83.1,24.12,6.45,214.12,22.89,90.34311894073875,148.3892980570637
mountain,16.22,18.14,31.65,22.14,49.39,9.13,147.38,141.06,120.6138751413773,174.37852683827225
mountain,10.02,17.79,28.78,61.78,10.49,2.48,141.39,81.72,81.88829772901921,195.2806068352261
mountain,9.43,19.71,42.81,34.02,24.55,5.3,221.55,487.73,90.57892445817826,46.46277818410144
mountain,11.05,9.02,24.44,3.57,32.67,5.33,219.14,226.03,104.38921785710268,76.82108141355263
mountain,7.66,5.23,64.59,39.94,28.68,4.36,194.95,338.63,121.6593710925377,111.81083123372065
mountain,47.78,20.02,12.33,46.77,38.46,7.64,175.18,59.1,100.00561101636465,96.51109353072717
