environment,avg_building_height_m,street_width_m,building_separation_m,street_orientation_deg,tx_antenna_height_m,rx_antenna_height_m,building_path_length_m,link_distance_m,path_loss_dB,delay_spread_ns
rural,4.34,4.55,68.96,30.54,29.67,8.85,49.15,275.96,103.90972124695801,137.25193772337946
rural,8.8,14.14,79.89,19.99,38.05,5.24,67.79,163.56,106.04030501005954,99.58869592708446
rural,8.18,17.53,37.56,76.75,13.71,1.98,274.24,356.2,64.9264878289992,115.84356236005682
rural,11.01,11.51,37.43,58.02,16.24,5.89,282.68,45.95,78.09962320087199,94.05095820310395
rural,8.72,11.63,42.55,32.25,28.29,6.13,81.8,364.11,92.89569949849547,64.43797333420967
rural,53.07,26.73,24.15,14.61,47.79,1.56,175.89,246.37,106.94106660599428,12.647539204539013
rural,55.12,18.44,19.48,88.07,39.55,8.43,233.08,55.53,77.12559899492774,131.18713608643725
rural,10.15,14.1,45.18,13.95,13.64,7.43,83.35,135.05,90.31454537424962,58.559943697921035
rural,51.86,31.07,5.81,38.72,42.76,1.74,168.19,109.65,90.15466265304013,17.06846296806369
rural,80.92,14.09,9.0,17.76,33.42,2.07,245.85,187.49,84.7009464803268,47.03069955663013
rural,10.87,14.94,25.61,57.5,48.02,4.45,275.95,249.67,91.48143144681761,61.79959999053213
rural,58.86,24.04,16.16,65.78,31.31,4.51,129.34,79.11,64.04252687366956,102.42689195258703
rural,18.44,9.54,27.58,77.13,49.99,7.27,238.63,248.8,53.32464118872918,112.09111061459105
rural,14.79,16.26,37.49,86.76,23.2,6.78,223.57,97.7,95.89716938264334,86.5941726299848
rural,4.59,7.4,62.43,9.58,22.95,7.73,105.76,164.67,59.432574824451216,89.09920506189424
rural,66.56,31.58,9.73,24.13,22.37,9.18,226.42,50.17,87.41675357733,89.24528973935874
rural,117.45,15.47,8.41,16.18,49.71,3.33,50.62,233.59,112.63427345423825,25.651004918187194
rural,10.57,11.6,39.68,38.41,18.97,6.08,77.35,336.73,81.24830338092605,96.58503917412402
rural,10.29,15.77,45.53,43.89,13.02,8.46,108.35,427.48,58.228331423543466,134.5386600752901
rural,88.24,27.21,5.89,70.54,49.93,3.6,194.99,470.64,55.911675835002455,142.8355380832884
rural,11.64,18.5,43.73,23.49,26.93,1.57,227.38,137.87,67.11742137048056,39.84558622095793
rural,107.8,29.32,8.93,5.59,24.11,5.95,273.54,478.92,110.13989595342474,148.94034160426443
rural,4.2,4.56,73.9,43.49,12.84,1.68,58.78,374.73,85.03654065519433,75.70089142885905
rural,39.03,15.31,23.08,81.47,48.69,2.57,79.04,203.29,105.43694651884617,82.71342948055634
rural,59.15,14.7,18.74,25.44,41.26,2.56,208.04,340.39,91.35736387466508,104.22347732911453
rural,27.99,15.01,24.9,38.14,37.47,5.0,175.41,244.79,100.90946578933237,19.262790236584316
rural,57.28,18.77,22.08,67.84,34.73,8.61,126.21,362.1,97.63819279268775,129.7702047104636
rural,11.33,11.05,49.16,41.88,14.7,4.34,158.81,29.45,61.639362959938495,112.82748900487694
rural,28.3,12.17,24.8,33.03,26.26,7.16,131.22,394.11,85.34408916987027,129.4675118431267
rural,6.18,15.04,42.87,55.98,18.97,1.64,265.46,81.28,96.28392275298346,55.1552379465212
rural,117.97,19.59,19.45,78.44,46.4,9.42,37.22,350.27,62.27081562741193,107.32700662373578
rural,5.31,4.33,30.14,3.82,30.94,4.86,180.13,213.77,66.39101203832641,42.69946878800652
rural,6.99,5.85,52.66,83.1,24.12,6.45,214.12,22.89,55.350749178579264,53.40582698699575
rural,16.22,18.14,31.65,22.14,49.39,9.13,147.38,141.06,57.1800922881836,68.05039751624646
rural,10.02,17.79,28.78,61.78,10.49,2.48,141.39,81.72,106.92334746685167,108.4286322115002
rural,9.43,19.71,42.81,34.02,24.55,5.3,221.55,487.73,110.66022642094967,100.65246936850899
rural,11.05,9.02,24.44,3.57,32.67,5.33,219.14,226.03,108.06058249032625,58.61065673035611
rural,7.66,5.23,64.59,39.94,28.68,4.36,194.95,338.63,65.51787930883059,15.59661150645891
rural,47.78,20.02,12.33,46.77,38.46,7.64,175.18,59.1,74.13262394493547,75.14891260138019
rural,4.71,14.08,35.08,28.77,46.07,9.8,195.56,296.33,96.02500702458165,145.6980356495084
rural,7.37,7.22,70.89,89.49,43.38,7.94,192.13,315.76,90.67705768949702,88.57803974088206
rural,43.43,10.63,20.7,79.73,33.12,2.87,122.83,170.62,109.92648103879037,38.41754624718102
rural,13.89,17.39,32.91,61.76,48.88,6.59,130.41,418.14,79.47013170826274,50.853647306096384
rural,4.13,12.48,79.58,50.17,47.47,8.74,192.85,343.99,96.97735278750991,50.617914877725866
rural,68.21,29.67,18.97,62.91,21.06,9.74,216.79,499.8,54.889946156170886,136.98924881720725
rural,18.83,24.97,35.69,44.38,33.66,1.29,295.95,247.84,63.095587942134216,123.14065281277325
rural,67.31,34.67,7.33,80.39,33.15,6.4,135.17,276.81,55.704423894854834,30.469985267434282
rural,6.18,18.5,39.62,0.41,15.85,7.54,181.03,349.35,60.70405908227757,28.14460962527473
rural,15.11,12.58,24.23,60.74,27.22,4.76,158.14,259.53,69.50356196872842,140.57475997046794
rural,88.48,10.3,18.46,83.87,24.56,5.95,253.67,214.49,111.76892336602637,51.96271334152824
rural,55.43,15.49,10.91,61.33,35.64,9.41,255.48,368.1,103.37378918167404,146.95708824090335
rural,8.35,12.13,20.2,0.94,24.12,8.57,90.65,113.75,58.034494646790804,141.13159280362052
rural,44.22,17.89,19.58,12.24,36.12,1.35,85.94,100.25,75.82766678185239,121.25708193555798
rural,9.86,9.31,73.75,54.09,29.6,6.74,272.28,160.25,84.52283491536674,114.32359719952989
rural,8.15,7.22,41.04,17.63,32.68,3.75,29.14,120.79,61.16913408299732,19.520256873977488
rural,10.61,10.27,27.09,57.66,32.67,3.56,98.91,178.57,89.37060580462047,92.83720310195912
rural,4.13,5.29,71.19,85.77,49.2,9.36,190.51,61.21,68.83315684200201,139.30957864944102
rural,7.22,11.62,48.1,37.88,41.28,3.84,20.47,158.54,109.27826071204774,89.5143695796237
rural,49.3,18.0,12.82,53.03,11.96,7.18,62.88,381.74,116.29260197571134,31.57454867078733
rural,14.84,23.99,23.32,44.09,48.7,2.81,299.17,221.76,66.75833087712621,24.659023268921242
rural,8.06,18.83,31.02,3.42,17.11,2.49,70.22,323.62,108.86944213387702,72.14170056498949
rural,5.39,10.15,52.98,8.36,10.81,2.59,170.5,209.43,60.523493230135955,23.752411448703093
