posX,posY,accX,accY,velX,velY
335.115000,28.765000,-10.000000,0.000000,-10.000000,0.000000
325.115000,28.765000,0.000000,0.000000,-10.000000,0.000000
315.115000,28.765000,0.000000,0.000000,-10.000000,0.000000
305.115000,28.765000,0.000000,0.000000,-10.000000,0.000000
295.115000,28.765000,0.000000,0.000000,-10.000000,0.000000
285.125000,28.765000,0.010000,0.000000,-9.990000,0.000000
285.125000,18.755000,9.990000,-10.010000,0.000000,-10.010000
285.125000,8.755000,0.000000,0.010000,0.000000,-10.000000
285.125000,-1.245000,0.000000,0.000000,0.000000,-10.000000
285.125000,-8.765000,0.000000,2.480000,0.000000,-7.520000
297.605000,-8.765000,12.480000,7.520000,12.480000,0.000000
307.605000,-8.765000,-2.480000,0.000000,10.000000,0.000000
317.605000,-8.765000,0.000000,0.000000,10.000000,0.000000
327.605000,-8.765000,0.000000,0.000000,10.000000,0.000000
337.605000,-8.765000,0.000000,0.000000,10.000000,0.000000
345.115000,-8.765000,-2.490000,0.000000,7.510000,0.000000
345.115000,3.725000,-7.510000,12.490000,0.000000,12.490000
345.115000,13.725000,0.000000,-2.490000,0.000000,10.000000
345.115000,23.725000,0.000000,0.000000,0.000000,10.000000
345.115000,28.765000,0.000000,-4.960000,0.000000,5.040000
330.155000,28.765000,-14.960000,-5.040000,-14.960000,0.000000
320.155000,28.765000,4.960000,0.000000,-10.000000,0.000000
310.155000,28.765000,0.000000,0.000000,-10.000000,0.000000
300.155000,28.765000,0.000000,0.000000,-10.000000,0.000000
290.155000,28.765000,0.000000,0.000000,-10.000000,0.000000
285.125000,28.765000,4.970000,0.000000,-5.030000,0.000000
270.155000,28.765000,-9.940000,0.000000,-14.970000,0.000000
260.155000,28.765000,4.970000,0.000000,-10.000000,0.000000
250.155000,28.765000,0.000000,0.000000,-10.000000,0.000000
240.155000,28.765000,0.000000,0.000000,-10.000000,0.000000
230.155000,28.765000,0.000000,0.000000,-10.000000,0.000000
227.630000,28.765000,7.475000,0.000000,-2.525000,0.000000
210.155000,28.765000,-14.950000,0.000000,-17.475000,0.000000
200.155000,28.765000,7.475000,0.000000,-10.000000,0.000000
199.120000,28.765000,8.965000,0.000000,-1.035000,0.000000
199.120000,47.730000,1.035000,18.965000,0.000000,18.965000
199.120000,57.730000,0.000000,-8.965000,0.000000,10.000000
199.120000,67.730000,0.000000,0.000000,0.000000,10.000000
199.120000,73.065000,0.000000,-4.665000,0.000000,5.335000
184.455000,73.065000,-14.665000,-5.335000,-14.665000,0.000000
174.455000,73.065000,4.665000,0.000000,-10.000000,0.000000
171.715000,73.065000,7.260000,0.000000,-2.740000,0.000000
171.715000,55.805000,2.740000,-17.260000,0.000000,-17.260000
171.715000,45.805000,0.000000,7.260000,0.000000,-10.000000
171.715000,35.805000,0.000000,0.000000,0.000000,-10.000000
171.715000,28.765000,0.000000,2.960000,0.000000,-7.040000
184.675000,28.765000,12.960000,7.040000,12.960000,0.000000
194.675000,28.765000,-2.960000,0.000000,10.000000,0.000000
199.120000,28.765000,-5.555000,0.000000,4.445000,0.000000
214.675000,28.765000,11.110000,0.000000,15.555000,0.000000
224.675000,28.765000,-5.555000,0.000000,10.000000,0.000000
227.630000,28.765000,-7.045000,0.000000,2.955000,0.000000
244.675000,28.765000,14.090000,0.000000,17.045000,0.000000
254.675000,28.765000,-7.045000,0.000000,10.000000,0.000000
264.675000,28.765000,-0.000000,0.000000,10.000000,0.000000
274.675000,28.765000,0.000000,0.000000,10.000000,0.000000
284.675000,28.765000,0.000000,0.000000,10.000000,0.000000
285.125000,28.765000,-9.550000,0.000000,0.450000,0.000000
304.675000,28.765000,19.100000,0.000000,19.550000,0.000000
314.675000,28.765000,-9.550000,0.000000,10.000000,0.000000
324.675000,28.765000,0.000000,0.000000,10.000000,0.000000
334.675000,28.765000,0.000000,0.000000,10.000000,0.000000
344.675000,28.765000,0.000000,0.000000,10.000000,0.000000
345.115000,28.765000,-9.560000,0.000000,0.440000,0.000000
345.115000,9.205000,-0.440000,-19.560000,0.000000,-19.560000
345.115000,-0.795000,0.000000,9.560000,0.000000,-10.000000
345.115000,-8.765000,0.000000,2.030000,0.000000,-7.970000
333.085000,-8.765000,-12.030000,7.970000,-12.030000,0.000000
323.085000,-8.765000,2.030000,0.000000,-10.000000,0.000000
313.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
303.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
293.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
285.125000,-8.765000,2.040000,0.000000,-7.960000,0.000000
273.085000,-8.765000,-4.080000,0.000000,-12.040000,0.000000
263.085000,-8.765000,2.040000,0.000000,-10.000000,0.000000
253.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
243.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
233.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
227.630000,-8.765000,4.545000,0.000000,-5.455000,0.000000
213.085000,-8.765000,-9.090000,0.000000,-14.545000,0.000000
203.085000,-8.765000,4.545000,0.000000,-10.000000,0.000000
193.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
183.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
173.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
163.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
153.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
148.905000,-8.765000,5.820000,0.000000,-4.180000,0.000000
133.085000,-8.765000,-11.640000,0.000000,-15.820000,0.000000
123.085000,-8.765000,5.820000,0.000000,-10.000000,0.000000
113.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
103.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
93.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
83.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
73.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
63.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
54.480000,-8.765000,1.395000,0.000000,-8.605000,0.000000
43.085000,-8.765000,-2.790000,0.000000,-11.395000,0.000000
33.085000,-8.765000,1.395000,0.000000,-10.000000,0.000000
23.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
13.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
3.085000,-8.765000,0.000000,0.000000,-10.000000,0.000000
-6.915000,-8.765000,0.000000,0.000000,-10.000000,0.000000
-16.915000,-8.765000,0.000000,0.000000,-10.000000,0.000000
-26.915000,-8.765000,0.000000,0.000000,-10.000000,0.000000
-34.480000,-8.765000,2.435000,0.000000,-7.565000,0.000000
-34.480000,3.670000,7.565000,12.435000,0.000000,12.435000
-34.480000,13.670000,0.000000,-2.435000,0.000000,10.000000
-34.480000,23.670000,0.000000,0.000000,0.000000,10.000000
-34.480000,28.765000,0.000000,-4.905000,0.000000,5.095000
-19.575000,28.765000,14.905000,-5.095000,14.905000,0.000000
-12.075000,28.765000,-7.405000,0.000000,7.500000,0.000000
-12.075000,41.265000,-7.500000,12.500000,0.000000,12.500000
-12.075000,51.265000,0.000000,-2.500000,0.000000,10.000000
-12.075000,61.265000,0.000000,0.000000,0.000000,10.000000
-12.075000,71.265000,0.000000,0.000000,0.000000,10.000000
-12.075000,73.065000,0.000000,-8.200000,0.000000,1.800000
6.125000,73.065000,18.200000,-1.800000,18.200000,0.000000
16.125000,73.065000,-8.200000,0.000000,10.000000,0.000000
26.125000,73.065000,0.000000,0.000000,10.000000,0.000000
32.075000,73.065000,-4.050000,0.000000,5.950000,0.000000
32.075000,59.015000,-5.950000,-14.050000,0.000000,-14.050000
32.075000,49.015000,0.000000,4.050000,0.000000,-10.000000
32.075000,49.015000,0.000000,10.000000,0.000000,0.000000
32.075000,39.015000,0.000000,-10.000000,0.000000,-10.000000
32.075000,29.015000,0.000000,0.000000,0.000000,-10.000000
32.075000,28.765000,0.000000,9.750000,0.000000,-0.250000
32.075000,28.765000,0.000000,0.250000,0.000000,0.000000
