posX,posY,accX,accY,velX,velY
238.055000,110.620000,0.000000,-10.000000,0.000000,-10.000000
238.055000,100.620000,0.000000,0.000000,0.000000,-10.000000
238.055000,90.620000,0.000000,0.000000,0.000000,-10.000000
238.055000,80.620000,0.000000,0.000000,0.000000,-10.000000
238.055000,73.065000,0.000000,2.445000,0.000000,-7.555000
225.610000,73.065000,-12.445000,7.555000,-12.445000,0.000000
215.610000,73.065000,2.445000,0.000000,-10.000000,0.000000
205.610000,73.065000,0.000000,0.000000,-10.000000,0.000000
199.120000,73.065000,3.510000,0.000000,-6.490000,0.000000
185.610000,73.065000,-7.020000,0.000000,-13.510000,0.000000
175.610000,73.065000,3.510000,0.000000,-10.000000,0.000000
171.715000,73.065000,6.105000,0.000000,-3.895000,0.000000
168.095000,73.065000,0.275000,0.000000,-3.620000,0.000000
145.610000,73.065000,-18.865000,0.000000,-22.485000,0.000000
135.610000,73.065000,12.485000,0.000000,-10.000000,0.000000
126.220000,73.065000,0.610000,0.000000,-9.390000,0.000000
115.610000,73.065000,-1.220000,0.000000,-10.610000,0.000000
115.560000,73.065000,10.560000,0.000000,-0.050000,0.000000
95.610000,73.065000,-19.900000,0.000000,-19.950000,0.000000
85.610000,73.065000,9.950000,0.000000,-10.000000,0.000000
75.610000,73.065000,0.000000,0.000000,-10.000000,0.000000
73.890000,73.065000,8.280000,0.000000,-1.720000,0.000000
73.890000,54.785000,1.720000,-18.280000,0.000000,-18.280000
73.890000,44.785000,0.000000,8.280000,0.000000,-10.000000
73.890000,34.785000,0.000000,0.000000,0.000000,-10.000000
73.890000,28.765000,0.000000,3.980000,0.000000,-6.020000
59.910000,28.765000,-13.980000,6.020000,-13.980000,0.000000
54.480000,28.765000,8.550000,0.000000,-5.430000,0.000000
54.480000,14.195000,5.430000,-14.570000,0.000000,-14.570000
54.480000,4.195000,0.000000,4.570000,0.000000,-10.000000
54.480000,-5.805000,0.000000,0.000000,0.000000,-10.000000
54.480000,-8.765000,0.000000,7.040000,0.000000,-2.960000
37.440000,-8.765000,-17.040000,2.960000,-17.040000,0.000000
27.440000,-8.765000,7.040000,0.000000,-10.000000,0.000000
17.440000,-8.765000,0.000000,0.000000,-10.000000,0.000000
7.440000,-8.765000,0.000000,0.000000,-10.000000,0.000000
-2.560000,-8.765000,0.000000,0.000000,-10.000000,0.000000
-12.560000,-8.765000,0.000000,0.000000,-10.000000,0.000000
-22.560000,-8.765000,-0.000000,0.000000,-10.000000,0.000000
-32.560000,-8.765000,0.000000,0.000000,-10.000000,0.000000
-34.480000,-8.765000,8.080000,0.000000,-1.920000,0.000000
-34.480000,9.315000,1.920000,18.080000,0.000000,18.080000
-34.480000,19.315000,0.000000,-8.080000,0.000000,10.000000
-34.480000,28.765000,0.000000,-0.550000,0.000000,9.450000
-23.930000,28.765000,10.550000,-9.450000,10.550000,0.000000
-13.930000,28.765000,-0.550000,0.000000,10.000000,0.000000
-12.075000,28.765000,-8.145000,0.000000,1.855000,0.000000
-12.075000,46.910000,-1.855000,18.145000,0.000000,18.145000
-12.075000,56.910000,0.000000,-8.145000,0.000000,10.000000
-12.075000,66.910000,0.000000,0.000000,0.000000,10.000000
-12.075000,73.065000,0.000000,-3.845000,0.000000,6.155000
1.770000,73.065000,13.845000,-6.155000,13.845000,0.000000
11.770000,73.065000,-3.845000,0.000000,10.000000,0.000000
21.770000,73.065000,0.000000,0.000000,10.000000,0.000000
31.770000,73.065000,0.000000,0.000000,10.000000,0.000000
32.075000,73.065000,-9.695000,0.000000,0.305000,0.000000
32.805000,73.065000,0.425000,0.000000,0.730000,0.000000
61.770000,73.065000,28.235000,0.000000,28.965000,0.000000
71.770000,73.065000,-18.965000,0.000000,10.000000,0.000000
73.690000,73.065000,-8.080000,0.000000,1.920000,0.000000
73.690000,91.145000,-1.920000,18.080000,0.000000,18.080000
73.690000,101.145000,0.000000,-8.080000,0.000000,10.000000
73.690000,111.145000,0.000000,0.000000,0.000000,10.000000
73.690000,120.620000,0.000000,-0.525000,0.000000,9.475000
63.165000,120.620000,-10.525000,-9.475000,-10.525000,0.000000
53.935000,120.620000,1.295000,0.000000,-9.230000,0.000000
53.935000,131.390000,9.230000,10.770000,0.000000,10.770000
53.935000,141.390000,0.000000,-0.770000,0.000000,10.000000
53.935000,151.390000,0.000000,0.000000,0.000000,10.000000
53.935000,161.390000,0.000000,0.000000,0.000000,10.000000
53.935000,168.430000,0.000000,-2.960000,0.000000,7.040000
41.865000,168.430000,-12.070000,-7.040000,-12.070000,0.000000
30.975000,168.430000,1.180000,0.000000,-10.890000,0.000000
24.865000,168.430000,4.780000,0.000000,-6.110000,0.000000
24.865000,154.540000,6.110000,-13.890000,0.000000,-13.890000
24.865000,144.540000,0.000000,3.890000,0.000000,-10.000000
24.865000,134.540000,0.000000,0.000000,0.000000,-10.000000
24.865000,124.540000,0.000000,0.000000,0.000000,-10.000000
24.865000,120.620000,0.000000,6.080000,0.000000,-3.920000
32.805000,120.620000,7.940000,3.920000,7.940000,0.000000
50.945000,120.620000,10.200000,0.000000,18.140000,0.000000
53.935000,120.620000,-15.150000,0.000000,2.990000,0.000000
53.935000,137.630000,-2.990000,17.010000,0.000000,17.010000
53.935000,147.630000,0.000000,-7.010000,0.000000,10.000000
53.935000,147.630000,0.000000,-10.000000,0.000000,0.000000
53.935000,147.630000,0.000000,0.000000,0.000000,0.000000
53.935000,147.630000,0.000000,0.000000,0.000000,0.000000
53.935000,147.630000,0.000000,0.000000,0.000000,0.000000
53.935000,137.630000,0.000000,-10.000000,0.000000,-10.000000
53.935000,127.630000,0.000000,0.000000,0.000000,-10.000000
